question_id,answer_date,answer_id,answer_score,is_accepted,question_date,question_score,user_id
12666178,1362047910,15133304,0,False,1349049697,0,1651561
12666179,1349050868,12666271,2,True,1349049711,1,388520
12666179,1349051118,12666294,1,False,1349049711,1,1700513
12666184,1350563119,12954610,2,False,1349049734,0,1175010
12666186,1349052621,12666395,0,False,1349049791,0,1290720
12666190,1349050330,12666233,1,True,1349049853,1,442328
12666201,1349050178,12666214,1,False,1349049950,3,137626
12666201,1349050217,12666219,3,True,1349049950,3,507674
12666203,1349050300,12666229,0,True,1349049989,0,37213
12666207,1349076510,12669070,2,False,1349050022,0,1584772
12666212,1349050383,12666236,3,False,1349050137,1,298053
12666213,1349050319,12666232,2,False,1349050174,0,1424115
12666213,1349050450,12666244,2,False,1349050174,0,69083
12666213,1349051017,12666286,2,False,1349050174,0,1644176
12666221,1349050476,12666246,2,False,1349050241,3,37213
12666221,1349051358,12666315,0,False,1349050241,3,762165
12666224,1349053738,12666488,2,True,1349050259,1,950252
12666234,1350315554,12899102,0,False,1349050348,0,865641
12666235,1349096523,12673822,0,False,1349050369,1,842685
12666237,1349051580,12666328,1,True,1349050384,1,1078170
12666237,1349097476,12674083,0,False,1349050384,1,1165490
12666248,1349061589,12667147,2,False,1349050487,2,50617
12666248,1349065027,12667490,2,True,1349050487,2,562505
12666250,1349050651,12666260,4,False,1349050510,1,301303
12666250,1349050911,12666273,2,True,1349050510,1,803925
12666253,1349061265,12667119,1,False,1349050572,1,50617
12666255,1349063294,12667312,0,False,1349050607,1,465183
12666255,1349097376,12674053,1,True,1349050607,1,36305
12666256,1349051842,12666347,2,True,1349050639,0,1710581
12666256,1349159986,12685583,0,False,1349050639,0,425081
12666259,1349053210,12666444,0,True,1349050650,2,1710581
12666261,1349050806,12666270,2,True,1349050672,0,893
12666261,1349051281,12666310,3,False,1349050672,0,328193
12666262,1349050993,12666285,4,True,1349050716,0,179850
12666265,1349059245,12666942,2,True,1349050732,-1,87189
12666268,1349051546,12666324,0,False,1349050785,0,1701672
12666268,1349052994,12666424,1,False,1349050785,0,383904
12666268,1349053473,12666470,0,False,1349050785,0,1691769
12666269,1349108106,12677076,0,True,1349050805,0,30946
12666272,1349051234,12666308,0,False,1349050891,2,613198
12666272,1349857849,12815136,1,True,1349050891,2,163549
12666278,1349052166,12666368,2,False,1349050942,3,726099
12666278,1349069895,12667986,4,True,1349050942,3,1591827
12666278,1349078419,12669449,1,False,1349050942,3,738911
12666282,1349053228,12666448,1,True,1349050956,2,159145
12666282,1362776118,15303119,2,False,1349050956,2,495520
12666284,1349051606,12666329,1,False,1349050987,0,13005
12666284,1359648868,14630204,0,False,1349050987,0,2008532
12666288,1349051136,12666296,5,True,1349051035,0,15245
12666291,1349051202,12666305,0,False,1349051068,0,206328
12666291,1349053321,12666456,1,False,1349051068,0,871980
12666297,1349054964,12666599,0,False,1349051137,0,1633386
